流域面积,相对高差,平均坡度,ndvi,clay,sand,silt,一级道路密度,二级道路密度,三级道路密度,四级道路密度,高速公路密度,铁路密度,断裂带密度,雨季降雨量均值,暴雨数量,特大暴雨数量,大暴雨数量,大雨数量,发生
50.6081009,2380,29.4995003,0.621073,23.0851002,46.0213013,30.8936005,0,0.0099253,0.0003369,0.0003864,0,0,0.0007345,4.5062599,0.433505,0.433505,0.433505,0.433505,1
3.7111399,1216,34.7388,0.713548,34,37.7999992,28.2000008,0,0,0,0.0052681,0,0,0.0027831,5.1240602,0.0317893,0.0317893,0.0317893,0.0317893,0
0.961527,397,28.7586994,-0.0452194,27,41,32,0,0,0,0.0203787,0,0,0.0703215,5.2725501,0.0082364,0.0082364,0.0082364,0.0082364,0
7.7074499,1538,32.9860001,0.694432,33.7778015,37.6666985,28.5555992,0,0,0,0.0025762,0,0,0.0190442,5.1240602,0.0660214,0.0660214,0.0660214,0.0660214,1
62.6941986,2356,31.7362995,0.651058,21.7376995,47.6066017,30.6557007,0,0.0547483,0,0.0003169,0,0,0.0009896,4.8103499,0.537033,0.537033,0.537033,0.537033,1
4.14744,1148,32.1852989,0.666606,32.6666985,37,30.3332996,0,0,0,0.00484,0,0,0.0036397,5.2224898,0.0355266,0.0355266,0.0355266,0.0355266,1
45.4006996,2746,35.0666008,0.652519,22.9535007,46.0465012,31,0,0,0,0.0004422,0,0,0.0033,5.2079401,0.388899,0.388899,0.388899,0.388899,1
22.7705994,2406,34.9301987,0.689512,23.7618999,43.1428986,33.0951996,0,0.0125767,0,0.0008894,0,0,0.0000675,5.1303,0.195051,0.195051,0.195051,0.195051,1
0.993152,309,25.1466999,0.240545,27,41,32,0,0,0,0.0203938,0,0,0.0035125,6.15523,0.0085073,0.0085073,0.0085073,0.0085073,0
59.8278999,2144,30.1438007,0.518303,22.4230995,48.4230995,29.1537991,0,0,0,0.0003389,0,0,0.0023101,5.3009901,0.512481,0.512481,0.512481,0.512481,1
51.1646996,2553,31.4141998,0.63095,23.0816002,45.7958984,31.1224003,0,0,0,0.0003966,0,0,0.0015811,4.6367998,0.438273,0.438273,0.438273,0.438273,1
37.8624992,2765,33.6934013,0.611199,24.0277996,43.5,32.4721985,0,0,0,0.000539,0,0,0.0007057,5.5917101,0.324327,0.324327,0.324327,0.324327,1
17.2385998,2188,32.4682999,0.675339,30.5333004,39.4000015,30.0667,0,0.0015369,0,0.0011843,0,0,0.0031541,5.4116302,0.147665,0.147665,0.147665,0.147665,1
33.5564003,2500,34.1483994,0.641671,21,47.5312996,31.4687996,0,0,0,0.0006112,0,0,0.0031608,4.7975402,0.287442,0.287442,0.287442,0.287442,1
27.5811996,2819,37.0463982,0.675067,23.8929005,45.2857018,30.8213997,0,0.0262243,0,0.0007434,0,0,0.0004172,5.5200801,0.236258,0.236258,0.236258,0.236258,1
0.330093,196,27.1996002,-0.2,0,0,0,0,0,0,0.0621865,0,0,0.0483174,6.12115,0.0028276,0.0028276,0.0028276,0.0028276,0
4.6011901,1349,31.7544003,0.677556,34,37.7999992,28.2000008,0,0,0,0.0044665,0,0,0.0412153,5.4152198,0.0394134,0.0394134,0.0394134,0.0394134,1
40.3652992,2772,34.6292,0.644752,23.2632008,44.6579018,32.0788994,0,0.0723952,0,0.0005162,0,0,0.0048294,5.6062498,0.345766,0.345766,0.345766,0.345766,1
63.047699,2550,32.9561005,0.630659,22.5932007,44.6271019,32.7797012,0,0,0,0.000331,0,0,0.0017218,4.7360501,2,2,2,2,1
55.8992996,2736,34.2781982,0.667845,28.9444008,40.1110992,30.9444008,0,0.0001424,0,0.0003776,0,0,0.0008996,5.3786101,0.478829,0.478829,0.478829,0.478829,1
0.890963,620,33.489399,0.592698,36,39,25,0,1.44917,0,0.0238127,0,0,0.0565847,5.5531001,0.0076319,0.0076319,0.0076319,0.0076319,1
46.7215996,2868,33.851799,0.6394,22.9545002,44.2727013,32.7727013,0,0,0,0.0004556,0,0,0.0027341,4.94802,0.400213,0.400213,0.400213,0.400213,1
92.3891983,2437,31.9167995,0.544823,22.1807003,46.5662994,31.2530003,0,0.0008357,0,0.0002304,0,0,0.0001656,5.8573499,0.791399,0.791399,0.791399,0.791399,1
11.1323004,1741,34.1711006,0.722426,29.7999992,40.7999992,29.3999996,0,0.75956,0,0.0019138,0,0,0.0350182,5.55163,0.0953583,0.0953583,0.0953583,0.0953583,1
78.1471024,2732,30.4223003,0.599798,23.4545002,43.6883011,32.8571014,0,0,0.0157956,0.0002741,0,0,0.0004494,4.7796001,0.669402,0.669402,0.669402,0.669402,1
29.4682007,2012,31.6537991,0.63336,21.1070995,48.1786003,30.7143002,0,0,0,0.0007274,0,0,0.0055644,5.9867301,0.252423,0.252423,0.252423,0.252423,0
38.4826012,3022,36.4808006,0.642682,23.8157997,43.6053009,32.5788994,0,0.0639018,0,0.0005592,0,0,0.0001515,5.1584201,0.329639,0.329639,0.329639,0.329639,1
16.7978001,1592,31.6615009,0.703854,25.1667004,42.8333015,32,0,0.0044639,0,0.0012825,0,0,0.0002732,5.77531,0.143889,0.143889,0.143889,0.143889,0
1.4999599,390,24.6516991,-0.175648,22,42.5,35.5,0,0,0,0.0144825,0,0,0.0530496,6.2480001,0.0128485,0.0128485,0.0128485,0.0128485,0
45.3097992,2592,34.4833984,0.722136,28.6429005,39.4524002,31.9048004,0,0.0016662,0,0.0004805,0,0,0.0016071,5.6003199,0.38812,0.38812,0.38812,0.38812,1
63.7144012,2081,31.3857994,0.55878,20.8094997,46.4603004,32.7302017,0,0,0,0.0003425,0,0,0.0020682,4.86482,0.545772,0.545772,0.545772,0.545772,1
52.146801,1965,33.1450005,0.547412,21.8511009,49.3190994,28.8297997,0,0,0,0.0004182,0,0,0.0012106,6.0334702,0.446685,0.446685,0.446685,0.446685,0
