流域面积,相对高差,平均坡度,乡县密度,雨季降雨量均值,大暴雨数量,暴雨数量,大雨数量,sand,silt,clay,LUCC,NDVI,断裂带密度,发生
46.76079941,2613,32.79169846,0,4.927969933,81.21970367,40.43930054,24.10400009,44.53329849,31.97780037,23.48889923,20,0.676126003,9.23E-05,0
68.30750275,2429,30.31290054,0,6.121719837,98.33010101,50.10319901,30.12870026,47.29029846,30.30649948,22.40320015,20,0.598505974,0.000767082,0
26.17250061,2476,33.47240067,0,5.461130142,87.32820129,44,28.03820038,41.56000137,34.88000107,23.55999947,20,0.720920026,0.00486994,0
26.21920013,2344,30.98940086,0,5.933050156,92.35009766,44.17499924,27.29170036,44.66669846,31.25930023,24.07410049,20,0.640937984,0.00168066,0
34.38579941,2579,32.67079926,0,5.160280228,83.90930176,44,28.79789925,43.77420044,31.03230095,25.19350052,20,0.706012011,0.000378525,1
43.87870026,2336,29.43160057,0,6.07889986,93.18920135,44.5945015,27.99139977,45.33330154,31.56410027,23.1026001,20,0.602281988,0.00466859,0
4.422830105,1694,33.81389999,0,5.082729816,83,43.94390106,29.05610085,38.5,34,27.5,20,0.720447004,0.0324973,0
2.382960081,438,23.3022995,0,6.105800152,95.79769897,44.93389893,27.70330048,43.37170029,37.53390121,19.09440041,20,-0.144720003,0.0825094,0
27.79719925,2427,32.01789856,0,5.096350193,83,43.63280106,29.36720085,44.73080063,31.1923008,24.07690048,20,0.706295013,0.00576558,0
14.95149994,1810,33.36859894,0,5.427299976,84.88230133,40.91239929,26.77619934,38.5,34,27.5,20,0.745177984,0.00135425,0
46.08530045,350,20.28549957,0,4.846270084,70.99299622,31.04940033,20.5095005,41.00049973,31.99979973,26.99970055,20,0.509783983,0.000777754,0
26.7567997,1753,28.49850082,0,5.33163023,80.85910034,36.5727005,24.77179909,50.25,28.45829964,21.29170036,20,0.604137003,0.00535176,0
46.04660034,2402,32.41500092,0,5.129059792,81.51560211,40.77410126,28.51499939,42.20930099,31.04649925,26.74419975,20,0.716718018,0.000762986,1
23.87220001,2393,32.77830124,0,5.101970196,82.03659821,42.03659821,29.24309921,45.04349899,30.7390995,24.2173996,20,0.712943971,0.00162038,1
50.60810089,21,5.552869797,0,4.803040028,69,29,19,44,39,17,30,0.413626999,0.00073446,0
3.711139917,1197,32.53879929,0,5.124060154,83,43,30,37.79999924,28.20000076,34,20,0.712373018,0.00278307,0
0.96152699,143,12.78380013,0,5.144380093,77,34,24,0,0,0,20,-0.200000003,0.0703215,0
7.707449913,1442,29.2947998,0,5.124060154,83,43,30,37.66669846,28.55559921,33.77780151,20,0.694333971,0.0190442,1
62.69419861,2292,29.68149948,0,4.810460091,69.32330322,29.32329941,19.25399971,47.60660172,30.65570068,21.73769951,20,0.652769983,0.000989561,0
4.147439957,1053,29.41909981,0,5.222489834,92.12740326,50.43709946,33.71860123,37,30.33329964,32.66669846,20,0.666862011,0.0036397,0
45.40069962,2694,31.86160088,0,5.207940102,79.18890381,37.52199936,26.42760086,46.04650116,31,22.95350075,20,0.652871013,0.00329997,0
22.77059937,2326,33.1012001,0,5.130300045,86.73639679,45.82429886,30.80529976,43.14289856,33.09519958,23.76189995,20,0.689580023,6.75E-05,1
0.993152022,218,20.28980064,0,6.121150017,83,39,30,41,32,27,20,0.436583012,0.00351247,0
59.82789993,2018,28.4612999,0,5.270850182,77.67199707,35.04999924,24.82729912,48.72000122,29.04000092,22.23999977,20,0.540728986,0.00231008,0
51.16469955,228,18.90850067,0,4.800739765,69.65239716,29.97870064,19.65239906,43.29489899,37.35469818,19.35050011,30,0.499832004,0.00158107,0
37.86249924,2724,25.6284008,0,5.591710091,88.52559662,47.02360153,32.00619888,43.5,32.47219849,24.02779961,20,0.611617029,0.000705701,0
17.23859978,2080,30.39940071,0,5.411630154,109.7740021,64.80870056,40.88399887,39.40000153,30.06669998,30.5333004,20,0.67552799,0.00315409,1
33.5564003,2352,32.48669815,0,4.797570229,70.59539795,31.3878994,20.59160042,47.64519882,31.22579956,21.12899971,20,0.647255003,0.00316081,0
27.58119965,2777,22.47340012,0,5.52008009,99.75150299,56.40449905,36.70230103,45.28570175,30.82139969,23.89290047,20,0.675143003,0.000417232,0
0.330092996,196,27.19960022,0,6.121150017,83,39,30,0,0,0,20,-0.200000003,0.0483174,0
4.60119009,1049,27.0041008,0,5.415219784,110,65,41,37.79999924,28.20000076,34,20,0.67622,0.0412153,1
40.36529922,2726,30.07649994,0,5.606249809,91.32849884,49.34009933,33.16999817,44.65790176,32.07889938,23.26320076,20,0.644703984,0.00482943,0
63.04769897,276,17.88360023,0,4.795979977,71,32,21,43.13389969,36.97909927,19.88699913,20,0.476063997,0.00172179,0
55.89929962,2660,31.95499992,0,5.378610134,104.5699997,58.62739944,35.89599991,40.11109924,30.94440079,28.94440079,20,0.667819023,0.000899555,1
0.890963018,482,30.28720093,0,5.553100109,110,61,35,39,25,36,20,0.588548005,0.0565847,0
46.72159958,2795,32.35469818,0,4.949530125,79.9940033,38.77700043,24.8973999,44.34880066,32.79069901,22.86050034,20,0.641463995,0.00273412,0
92.3891983,2406,29.54940033,0,5.855279922,87.04859924,43.0965004,30.85269928,46.56629944,31.25300026,22.1807003,20,0.550632,0.000165599,0
11.13230038,1710,31.77039909,0,5.55163002,110,61.04270172,35.06399918,40.79999924,29.39999962,29.79999924,20,0.722496986,0.0350182,0
78.14710236,149,25.60230064,0,4.88820982,73,29,18,44,39,17,20,0.518455029,0.000449395,0
29.46820068,1964,29.58749962,0,5.986730099,98.19809723,48.38550186,34.83430099,48.17860031,30.71430016,21.10709953,20,0.633256018,0.00556442,0
38.48260117,2867,34.7533989,0,5.160789967,88.16850281,42.11869812,24.96929932,43.6053009,32.57889938,23.81579971,20,0.645596981,0.000151524,1
